srcip,record_id,classification,severity,risk_score,connection_count,unique_dstip_count,unique_dsport_count,dst_src_relationship_count,state_ttl_count,attack_cat,label,reason
record-12015,12015,Suspicious,Medium,52,47,47,47,47,2,Generic,1,Elevated destination diversity: 47 destinations; High port diversity: 47 destination ports; Repeated source-destination behavior: 47 links
record-12018,12018,Suspicious,Medium,52,47,47,47,47,2,Generic,1,Elevated destination diversity: 47 destinations; High port diversity: 47 destination ports; Repeated source-destination behavior: 47 links
record-12057,12057,Suspicious,Medium,52,47,47,47,47,2,Generic,1,Elevated destination diversity: 47 destinations; High port diversity: 47 destination ports; Repeated source-destination behavior: 47 links
record-12062,12062,Suspicious,Medium,52,47,47,47,47,2,Generic,1,Elevated destination diversity: 47 destinations; High port diversity: 47 destination ports; Repeated source-destination behavior: 47 links
record-13392,13392,Suspicious,Medium,52,47,47,47,47,2,Generic,1,Elevated destination diversity: 47 destinations; High port diversity: 47 destination ports; Repeated source-destination behavior: 47 links
record-12184,12184,Suspicious,Medium,52,45,45,45,45,2,Generic,1,Elevated destination diversity: 45 destinations; High port diversity: 45 destination ports; Repeated source-destination behavior: 45 links
record-12188,12188,Suspicious,Medium,52,45,45,45,45,2,Generic,1,Elevated destination diversity: 45 destinations; High port diversity: 45 destination ports; Repeated source-destination behavior: 45 links
record-12193,12193,Suspicious,Medium,52,45,45,45,45,2,Generic,1,Elevated destination diversity: 45 destinations; High port diversity: 45 destination ports; Repeated source-destination behavior: 45 links
record-12213,12213,Suspicious,Medium,52,45,45,45,45,2,Generic,1,Elevated destination diversity: 45 destinations; High port diversity: 45 destination ports; Repeated source-destination behavior: 45 links
record-12215,12215,Suspicious,Medium,52,45,45,45,45,2,Generic,1,Elevated destination diversity: 45 destinations; High port diversity: 45 destination ports; Repeated source-destination behavior: 45 links
record-12217,12217,Suspicious,Medium,52,45,45,45,45,2,Generic,1,Elevated destination diversity: 45 destinations; High port diversity: 45 destination ports; Repeated source-destination behavior: 45 links
record-12220,12220,Suspicious,Medium,52,45,45,45,45,2,Generic,1,Elevated destination diversity: 45 destinations; High port diversity: 45 destination ports; Repeated source-destination behavior: 45 links
record-12222,12222,Suspicious,Medium,52,45,45,45,45,2,Generic,1,Elevated destination diversity: 45 destinations; High port diversity: 45 destination ports; Repeated source-destination behavior: 45 links
record-12376,12376,Suspicious,Medium,52,45,45,45,45,2,Generic,1,Elevated destination diversity: 45 destinations; High port diversity: 45 destination ports; Repeated source-destination behavior: 45 links
record-12381,12381,Suspicious,Medium,52,45,45,45,45,2,Generic,1,Elevated destination diversity: 45 destinations; High port diversity: 45 destination ports; Repeated source-destination behavior: 45 links
record-12385,12385,Suspicious,Medium,52,45,45,45,45,2,Generic,1,Elevated destination diversity: 45 destinations; High port diversity: 45 destination ports; Repeated source-destination behavior: 45 links
record-12390,12390,Suspicious,Medium,52,45,45,45,45,2,Generic,1,Elevated destination diversity: 45 destinations; High port diversity: 45 destination ports; Repeated source-destination behavior: 45 links
record-12393,12393,Suspicious,Medium,52,45,45,45,45,2,Generic,1,Elevated destination diversity: 45 destinations; High port diversity: 45 destination ports; Repeated source-destination behavior: 45 links
record-12397,12397,Suspicious,Medium,52,45,45,45,45,2,Generic,1,Elevated destination diversity: 45 destinations; High port diversity: 45 destination ports; Repeated source-destination behavior: 45 links
record-12912,12912,Suspicious,Medium,52,45,45,45,45,2,Generic,1,Elevated destination diversity: 45 destinations; High port diversity: 45 destination ports; Repeated source-destination behavior: 45 links
record-12920,12920,Suspicious,Medium,52,45,45,45,45,2,Generic,1,Elevated destination diversity: 45 destinations; High port diversity: 45 destination ports; Repeated source-destination behavior: 45 links
record-12322,12322,Suspicious,Medium,52,44,44,44,44,2,Generic,1,Elevated destination diversity: 44 destinations; High port diversity: 44 destination ports; Repeated source-destination behavior: 44 links
record-12334,12334,Suspicious,Medium,52,44,44,44,44,2,Generic,1,Elevated destination diversity: 44 destinations; High port diversity: 44 destination ports; Repeated source-destination behavior: 44 links
record-12338,12338,Suspicious,Medium,52,44,44,44,44,2,Generic,1,Elevated destination diversity: 44 destinations; High port diversity: 44 destination ports; Repeated source-destination behavior: 44 links
record-12343,12343,Suspicious,Medium,52,44,44,44,44,2,Generic,1,Elevated destination diversity: 44 destinations; High port diversity: 44 destination ports; Repeated source-destination behavior: 44 links
record-12439,12439,Suspicious,Medium,52,44,44,44,44,2,Generic,1,Elevated destination diversity: 44 destinations; High port diversity: 44 destination ports; Repeated source-destination behavior: 44 links
record-12637,12637,Suspicious,Medium,52,44,44,43,43,2,Generic,1,Elevated destination diversity: 44 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-12644,12644,Suspicious,Medium,52,44,44,43,43,2,Generic,1,Elevated destination diversity: 44 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-12648,12648,Suspicious,Medium,52,44,44,43,43,2,Generic,1,Elevated destination diversity: 44 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-12715,12715,Suspicious,Medium,52,44,44,43,43,2,Generic,1,Elevated destination diversity: 44 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-12718,12718,Suspicious,Medium,52,44,44,43,43,2,Generic,1,Elevated destination diversity: 44 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-14534,14534,Suspicious,Medium,52,44,44,43,46,2,Generic,1,Elevated destination diversity: 44 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 46 links
record-14598,14598,Suspicious,Medium,52,44,44,43,46,2,Generic,1,Elevated destination diversity: 44 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 46 links
record-14605,14605,Suspicious,Medium,52,44,44,43,46,2,Generic,1,Elevated destination diversity: 44 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 46 links
record-14610,14610,Suspicious,Medium,52,44,44,43,46,2,Generic,1,Elevated destination diversity: 44 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 46 links
record-14615,14615,Suspicious,Medium,52,44,44,43,46,2,Generic,1,Elevated destination diversity: 44 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 46 links
record-14622,14622,Suspicious,Medium,52,44,44,43,46,2,Generic,1,Elevated destination diversity: 44 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 46 links
record-14723,14723,Suspicious,Medium,52,44,44,43,46,2,Generic,1,Elevated destination diversity: 44 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 46 links
record-14728,14728,Suspicious,Medium,52,44,44,43,46,2,Generic,1,Elevated destination diversity: 44 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 46 links
record-14733,14733,Suspicious,Medium,52,44,44,43,46,2,Generic,1,Elevated destination diversity: 44 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 46 links
record-15351,15351,Suspicious,Medium,52,44,44,43,46,2,Generic,1,Elevated destination diversity: 44 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 46 links
record-15357,15357,Suspicious,Medium,52,44,44,43,46,2,Generic,1,Elevated destination diversity: 44 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 46 links
record-15365,15365,Suspicious,Medium,52,44,44,43,46,2,Generic,1,Elevated destination diversity: 44 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 46 links
record-15372,15372,Suspicious,Medium,52,44,44,43,46,2,Generic,1,Elevated destination diversity: 44 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 46 links
record-15408,15408,Suspicious,Medium,52,44,44,43,46,2,Generic,1,Elevated destination diversity: 44 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 46 links
record-15414,15414,Suspicious,Medium,52,44,44,43,46,2,Generic,1,Elevated destination diversity: 44 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 46 links
record-16802,16802,Suspicious,Medium,52,44,44,43,46,2,Generic,1,Elevated destination diversity: 44 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 46 links
record-16809,16809,Suspicious,Medium,52,44,44,43,46,2,Generic,1,Elevated destination diversity: 44 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 46 links
record-16815,16815,Suspicious,Medium,52,44,44,43,46,2,Generic,1,Elevated destination diversity: 44 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 46 links
record-16820,16820,Suspicious,Medium,52,44,44,43,46,2,Generic,1,Elevated destination diversity: 44 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 46 links
record-22535,22535,Suspicious,Medium,52,44,44,43,46,2,Generic,1,Elevated destination diversity: 44 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 46 links
record-22536,22536,Suspicious,Medium,52,44,44,43,46,2,Generic,1,Elevated destination diversity: 44 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 46 links
record-22541,22541,Suspicious,Medium,52,44,44,43,46,2,Generic,1,Elevated destination diversity: 44 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 46 links
record-22542,22542,Suspicious,Medium,52,44,44,43,46,2,Generic,1,Elevated destination diversity: 44 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 46 links
record-22543,22543,Suspicious,Medium,52,44,44,43,46,2,Generic,1,Elevated destination diversity: 44 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 46 links
record-22544,22544,Suspicious,Medium,52,44,44,43,46,2,Generic,1,Elevated destination diversity: 44 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 46 links
record-22545,22545,Suspicious,Medium,52,44,44,43,46,2,Generic,1,Elevated destination diversity: 44 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 46 links
record-22832,22832,Suspicious,Medium,52,44,44,43,46,2,Generic,1,Elevated destination diversity: 44 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 46 links
record-22833,22833,Suspicious,Medium,52,44,44,43,46,2,Generic,1,Elevated destination diversity: 44 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 46 links
record-16140,16140,Suspicious,Medium,52,43,44,43,54,2,Generic,1,Elevated destination diversity: 44 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 54 links
record-16148,16148,Suspicious,Medium,52,43,44,43,54,2,Generic,1,Elevated destination diversity: 44 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 54 links
record-16155,16155,Suspicious,Medium,52,43,44,43,54,2,Generic,1,Elevated destination diversity: 44 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 54 links
record-16162,16162,Suspicious,Medium,52,43,44,43,54,2,Generic,1,Elevated destination diversity: 44 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 54 links
record-16165,16165,Suspicious,Medium,52,43,44,43,54,2,Generic,1,Elevated destination diversity: 44 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 54 links
record-17843,17843,Suspicious,Medium,52,43,44,43,54,2,Generic,1,Elevated destination diversity: 44 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 54 links
record-17850,17850,Suspicious,Medium,52,43,44,43,54,2,Generic,1,Elevated destination diversity: 44 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 54 links
record-17855,17855,Suspicious,Medium,52,43,44,43,54,2,Generic,1,Elevated destination diversity: 44 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 54 links
record-18809,18809,Suspicious,Medium,52,43,44,43,50,2,Generic,1,Elevated destination diversity: 44 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 50 links
record-20259,20259,Suspicious,Medium,52,43,44,43,54,2,Generic,1,Elevated destination diversity: 44 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 54 links
record-20264,20264,Suspicious,Medium,52,43,44,43,54,2,Generic,1,Elevated destination diversity: 44 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 54 links
record-20268,20268,Suspicious,Medium,52,43,44,43,54,2,Generic,1,Elevated destination diversity: 44 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 54 links
record-20273,20273,Suspicious,Medium,52,43,44,43,54,2,Generic,1,Elevated destination diversity: 44 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 54 links
record-20291,20291,Suspicious,Medium,52,43,44,43,54,2,Generic,1,Elevated destination diversity: 44 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 54 links
record-20295,20295,Suspicious,Medium,52,43,44,43,54,2,Generic,1,Elevated destination diversity: 44 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 54 links
record-21371,21371,Suspicious,Medium,52,43,44,43,54,2,Generic,1,Elevated destination diversity: 44 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 54 links
record-21373,21373,Suspicious,Medium,52,43,44,43,54,2,Generic,1,Elevated destination diversity: 44 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 54 links
record-21376,21376,Suspicious,Medium,52,43,44,43,54,2,Generic,1,Elevated destination diversity: 44 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 54 links
record-21379,21379,Suspicious,Medium,52,43,44,43,54,2,Generic,1,Elevated destination diversity: 44 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 54 links
record-21382,21382,Suspicious,Medium,52,43,44,43,54,2,Generic,1,Elevated destination diversity: 44 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 54 links
record-21385,21385,Suspicious,Medium,52,43,44,43,54,2,Generic,1,Elevated destination diversity: 44 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 54 links
record-21388,21388,Suspicious,Medium,52,43,44,43,54,2,Generic,1,Elevated destination diversity: 44 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 54 links
record-21391,21391,Suspicious,Medium,52,43,44,43,54,2,Generic,1,Elevated destination diversity: 44 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 54 links
record-14552,14552,Suspicious,Medium,52,47,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-14561,14561,Suspicious,Medium,52,47,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-14567,14567,Suspicious,Medium,52,47,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-22128,22128,Suspicious,Medium,52,47,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-22129,22129,Suspicious,Medium,52,47,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-22130,22130,Suspicious,Medium,52,47,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-22134,22134,Suspicious,Medium,52,47,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-22610,22610,Suspicious,Medium,52,47,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-22611,22611,Suspicious,Medium,52,47,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-22612,22612,Suspicious,Medium,52,47,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-22613,22613,Suspicious,Medium,52,47,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-22733,22733,Suspicious,Medium,52,47,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-22734,22734,Suspicious,Medium,52,47,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-22735,22735,Suspicious,Medium,52,47,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-22736,22736,Suspicious,Medium,52,47,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-22737,22737,Suspicious,Medium,52,47,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-22738,22738,Suspicious,Medium,52,47,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-22739,22739,Suspicious,Medium,52,47,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-23018,23018,Suspicious,Medium,52,47,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-23019,23019,Suspicious,Medium,52,47,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-23020,23020,Suspicious,Medium,52,47,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-23021,23021,Suspicious,Medium,52,47,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-23022,23022,Suspicious,Medium,52,47,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-13328,13328,Suspicious,Medium,52,45,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-13333,13333,Suspicious,Medium,52,45,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-13335,13335,Suspicious,Medium,52,45,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-14278,14278,Suspicious,Medium,52,45,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-15896,15896,Suspicious,Medium,52,45,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-15902,15902,Suspicious,Medium,52,45,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-15908,15908,Suspicious,Medium,52,45,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-15916,15916,Suspicious,Medium,52,45,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-17069,17069,Suspicious,Medium,52,45,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-17076,17076,Suspicious,Medium,52,45,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-17304,17304,Suspicious,Medium,52,45,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-17308,17308,Suspicious,Medium,52,45,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-17315,17315,Suspicious,Medium,52,45,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-17321,17321,Suspicious,Medium,52,45,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-17327,17327,Suspicious,Medium,52,45,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-17336,17336,Suspicious,Medium,52,45,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-17360,17360,Suspicious,Medium,52,45,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-17365,17365,Suspicious,Medium,52,45,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-17633,17633,Suspicious,Medium,52,45,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-17639,17639,Suspicious,Medium,52,45,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-17648,17648,Suspicious,Medium,52,45,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-17654,17654,Suspicious,Medium,52,45,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-12977,12977,Suspicious,Medium,52,44,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-12981,12981,Suspicious,Medium,52,44,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-12987,12987,Suspicious,Medium,52,44,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-12990,12990,Suspicious,Medium,52,44,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-13005,13005,Suspicious,Medium,52,44,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-13015,13015,Suspicious,Medium,52,44,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-13020,13020,Suspicious,Medium,52,44,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-13023,13023,Suspicious,Medium,52,44,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
record-13079,13079,Suspicious,Medium,52,44,43,43,43,2,Generic,1,Elevated destination diversity: 43 destinations; High port diversity: 43 destination ports; Repeated source-destination behavior: 43 links
